LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,cpi,Flag Codes
DEU,CPI,TOT_FOODENRG,IDX2015,M,2020-01,104.87,
DEU,CPI,TOT_FOODENRG,IDX2015,M,2020-02,105.3663,
DEU,CPI,TOT_FOODENRG,IDX2015,M,2020-03,105.8015,
ITA,CPI,TOT_FOODENRG,IDX2015,M,2020-01,102.2407,
ITA,CPI,TOT_FOODENRG,IDX2015,M,2020-02,102.1939,
ITA,CPI,TOT_FOODENRG,IDX2015,M,2020-03,102.4641,
ESP,CPI,TOT_FOODENRG,IDX2015,M,2020-01,103.1848,
ESP,CPI,TOT_FOODENRG,IDX2015,M,2020-02,103.4228,
ESP,CPI,TOT_FOODENRG,IDX2015,M,2020-03,103.9714,
GBR,CPI,TOT_FOODENRG,IDX2015,M,2020-01,108.2,
GBR,CPI,TOT_FOODENRG,IDX2015,M,2020-02,108.6,
GBR,CPI,TOT_FOODENRG,IDX2015,M,2020-03,108.8,
USA,CPI,TOT_FOODENRG,IDX2015,M,2020-01,109.8072,
USA,CPI,TOT_FOODENRG,IDX2015,M,2020-02,110.3289,
USA,CPI,TOT_FOODENRG,IDX2015,M,2020-03,110.3471,
